,dataSet,ins,theta_IP,totalTime_IP,t_RowGen_IP,n_RowGen_IP,t_ColGen_IP,n_ColGen_IP,theta_LP,totalTime_LP,t_RowGen_LP,n_RowGen_LP,t_ColGen_LP,n_ColGen_LP,theta_SVI,totalTime_SVI,t_RowGen_SVI,n_RowGen_SVI,t_ColGen_SVI,n_ColGen_SVI,class
18,N30_d10_,5,0.041163714428579024,80.06253004074097,43.700596565,18,3.736162435,15,,,,,,,,,,,,,
1,N30_d10_,6,0.0006173892545382477,62.25744605064392,26.526676731,24,3.531470512,18,,,,,,,,,,,,,
11,N30_d10_,8,0.0002675928795820374,79.47658705711366,42.535166188000005,55,4.352246194,43,,,,,,,,,,,,,
13,N30_d10_,9,0.019260567273015675,134.66808009147644,98.14643472700001,34,3.8861032910000004,27,,,,,,,0.019260567273015675,104.8830108642578,64.263512304,12.0,3.480202615,12.0,E
17,N30_d10_,10,0.009089999999999996,67.58943796157837,31.426908265,22,3.643260755,18,,,,,,,,,,,,,
24,N30_d10_,23,0.00034045691471956034,137.14306998252871,100.53781885,53,4.271749632,37,,,,,,,0.00034045691471956034,97.73489499092102,57.094296528,27.0,3.6810624169999997,20.0,E
20,N30_d10_,24,0.01994738344320241,63.706088066101074,27.401381105,31,3.7486696630000003,24,,,,,,,,,,,,,
15,N30_d10_,30,0.0005597274318054914,89.10999798774719,52.643427948,30,3.769604555,24,,,,,,,0.0005597274318054912,60.93185496330261,20.620523952,9.0,3.395430337,8.0,E
9,N30_d10_,31,0.07942368000000002,67.17637109756471,31.074881156,21,3.525935754,18,,,,,,,,,,,,,
4,N30_d10_,33,0.0008234730583200014,82.58210992813109,46.201681245,38,3.941160682,29,,,,,,,0.0008234730583200014,68.7908239364624,28.118082627,23.0,3.581346628,18.0,E
2,N30_d10_,34,0.02367592186446917,67.79152202606201,31.551891137,32,3.6981735589999998,23,,,,,,,,,,,,,
3,N30_d10_,40,0.04160072863784412,128.41458702087402,92.410355915,17,3.4209604860000002,13,,,,,,,0.041600728637844135,78.40894508361815,38.212803787,4.0,3.330060545,4.0,E
8,N30_d10_,42,0.016413571839732896,96.99723291397095,60.23872037100001,36,4.146957626,30,,,,,,,0.016413571839732896,78.23845601081848,37.827275848,20.0,3.628723499,19.0,E
14,N30_d10_,43,0.13005127516773474,74.90206909179688,38.596795069,19,3.7662639889999996,16,,,,,,,,,,,,,
19,N30_d10_,44,0.011826260864800391,68.94556021690369,32.716975304,27,3.7427145580000003,18,,,,,,,0.0118262608648004,62.613094091415405,22.033485994,18.0,3.473142455,11.0,E
23,N30_d10_,46,0.0006214083102021599,104.7338569164276,68.417154524,45,3.950127194,34,,,,,,,0.0006214083102021599,72.15976905822755,31.384934836,18.0,3.6676418039999996,17.0,E
12,N30_d10_,49,0.027952063341697538,60.95178604125977,24.974065959,18,3.526727971,14,,,,,,,,,,,,,
25,N30_d10_,50,0.0023430330000000013,84.27909207344054,48.106612897,31,3.706029347,23,,,,,,,0.0023430330000000017,76.96184301376344,36.548167286,15.0,3.4941474610000003,13.0,E
10,N30_d10_,54,0.003657113007943393,102.62718200683594,66.196605939,29,3.798276765,23,,,,,,,0.003657113007943394,73.40430283546449,32.595424826,12.0,3.5216674639999996,12.0,E
16,N30_d10_,55,0.021084179790468574,121.11132097244264,83.091152796,71,5.100875802,62,,,,,,,0.021084179790468574,67.78015494346619,27.153925568000002,18.0,3.613268432,17.0,E
5,N30_d10_,58,0.05340467123224415,121.03264689445496,84.38395479,29,3.939503412,24,,,,,,,0.053404671232244384,115.00419092178343,74.001436364,20.0,3.8173370089999996,19.0,E
0,N30_d10_,60,0.002358283242263311,64.88532495498657,28.643936121,27,3.691340251,19,,,,,,,,,,,,,
22,N30_d10_,61,0.0010600771729305672,103.04763507843019,65.252610055,75,5.214306197,61,,,,,,,0.0010600771729305674,76.53699493408203,34.984321767,49.0,4.296150942,44.0,E
21,N30_d10_,66,0.043195160794102384,67.12938690185547,29.923207965,50,4.369909074,36,,,,,,,0.04319516079410237,60.502928972244256,19.187157298,29.0,3.920982491,25.0,E
7,N30_d10_,78,0.006240279107544042,74.12352108955382,38.506463992,16,3.4578896269999997,13,,,,,,,,,,,,,
6,N30_d10_,84,0.004410000000000004,61.101269960403435,24.803001039,35,3.995465129,27,,,,,,,,,,,,,
